F,MSFT,FB,NFLX,GOOG  ,TSLA ,Ibov,SELIC,usd_brl,GOLD
12.354288117293,52.961628937783,114.1,102.23,744.95,229.77,50055.0,14.25,3.5583,143.5
11.98823513604,53.28766467631,116.06,105.7,749.91,237.59,50561.0,14.25,3.5793,138.0
11.7136954001,53.153414666328,112.55,104.35,745.29,246.99,48779.0,14.25,3.5865,142.0
11.686241426506,52.319146747156,112.22,104.94,737.8,255.47,49053.0,14.25,3.6575,144.85
11.731998049162,52.856146787083,113.71,104.83,745.69,265.42,48096.0,14.25,3.6743,142.8
11.457458313223,52.223253882883,113.64,104.45,740.28,257.2,48513.0,14.25,3.6915,146.9
11.484912286817,52.184896737174,110.63,103.81,739.15,250.07,50292.0,14.25,3.6379,143.0
11.585576856661,52.079414586474,108.99,102.68,736.1,249.92,50165.0,14.25,3.5278,141.0
11.722846724631,52.405450325001,110.61,106.98,743.09,247.82,52001.0,14.25,3.54,140.05
11.951629837914,53.07670037491,110.51,109.65,751.72,254.53,53149.0,14.25,3.5423,140.5
11.979083811508,53.086289661337,110.84,110.42,753.2,251.86,52411.0,14.25,3.512,137.5
11.841813943538,53.364378967728,109.64,111.51,759.0,254.51,53227.0,14.25,3.527,140.0
12.12550500401,54.141111168336,110.45,108.4,766.61,253.88,52894.0,14.25,3.5898,142.6
12.299380170105,54.073986163345,112.29,94.34,753.93,247.37,53710.0,14.25,3.5532,140.4
12.482406660731,53.306843249164,112.42,96.77,752.67,249.97,53630.0,14.25,3.5497,141.5
12.454952687137,49.653325120376,110.56,95.9,718.77,253.75,52907.0,14.25,3.5823,141.9
12.427498713543,49.969771572476,110.1,93.56,723.15,251.82,51861.0,14.25,3.5466,140.0
12.583071230576,49.327289381849,108.76,92.43,708.14,253.74,53082.0,14.25,3.5294,140.0
12.637979177764,48.847825060486,108.89,91.04,705.84,251.47,54477.0,14.25,3.5289,140.0
13.035807219231,47.850539272051,116.73,90.28,691.02,247.71,54311.0,14.25,3.4986,141.0
12.545461028586,47.821771412769,117.58,90.03,693.01,240.76,53910.0,14.25,3.4502,143.0
12.600971918093,48.531378608387,118.57,93.11,698.21,241.8,53561.0,14.25,3.4985,143.5
12.425187434654,47.735467834924,117.43,91.54,692.36,232.32,52260.0,14.25,3.5544,146.0
12.31416565564,47.821771412769,118.06,90.79,695.7,222.56,52552.0,14.25,3.5391,144.5
12.323417470558,47.88889641776,117.81,89.37,701.43,211.53,51671.0,14.25,3.529,145.0
12.434439249572,48.320414306987,119.49,90.84,711.12,214.93,51717.0,14.25,3.5356,143.8
12.323417470558,48.013557141314,119.24,90.54,712.9,208.92,50990.0,14.25,3.538,143.2
12.480698324161,48.924539351904,120.5,92.89,723.18,208.69,53070.0,14.25,3.4766,140.0
12.323417470558,48.953307211186,119.52,90.02,715.29,208.96,52764.0,14.25,3.4639,139.9
12.351172915311,49.39441438684,120.28,87.74,713.31,207.28,53241.0,14.25,3.4871,141.0
12.230899321379,48.982075070468,119.81,87.88,710.83,207.61,51804.0,14.25,3.5035,143.0
12.323417470558,49.701271552513,118.67,89.12,716.49,208.29,51802.0,14.25,3.5029,142.0
12.156884802036,48.780700055495,117.35,88.63,706.23,204.66,50839.0,14.25,3.5031,142.0
12.175388431872,49.070429020386,117.65,90.5,706.63,211.17,50561.0,14.25,3.5362,144.0
12.110625727447,48.597205044398,116.81,89.55,700.32,215.21,50132.0,14.25,3.5997,143.7
12.203143876626,48.886934009289,117.35,92.49,709.74,220.28,49722.0,14.25,3.5413,141.7
12.147632987119,48.31713371167,115.97,94.89,704.24,216.22,49330.0,14.25,3.5654,142.5
12.295662025804,49.823724329103,117.7,97.89,720.09,217.91,49345.0,14.25,3.5485,139.0
12.508453768914,50.335578833744,117.89,100.2,725.27,219.58,49482.0,14.25,3.5798,141.2
12.443691064489,50.528731477005,119.38,103.3,732.66,223.04,49051.0,14.25,3.6162,140.4
12.480698324161,51.185450464091,118.81,102.57,735.72,223.23,48471.0,14.25,3.5945,140.3
12.129129357283,51.040585981646,118.78,101.51,734.15,219.56,49012.0,14.25,3.612,139.5
12.221647506461,50.683253591614,118.93,101.25,730.4,218.96,49887.0,14.25,3.5955,138.1
12.064366652858,50.016876972364,118.47,99.59,722.34,218.99,50619.0,14.25,3.5403,140.29
12.193892061708,50.345236465907,118.79,100.74,716.55,220.68,50431.0,14.25,3.5092,139.0
12.378928360065,50.316263569418,117.76,99.89,716.65,232.34,50487.0,14.25,3.4739,137.5
12.360424730229,50.25831777644,118.39,97.86,728.28,235.52,51629.0,14.25,3.3892,136.0
12.267906581051,49.852697225592,118.56,97.09,728.58,229.36,51118.0,14.25,3.3811,138.0
12.119877542365,49.71749037531,116.62,93.75,719.41,218.79,49422.0,14.25,3.4255,140.0
12.008855763351,48.423367665463,113.95,93.85,718.36,217.87,49660.0,14.25,3.4527,143.6
11.879330354501,48.123981068409,114.94,94.12,718.27,214.96,48648.0,14.25,3.4833,143.0
12.036611208105,47.988774218126,114.6,94.29,718.92,217.7,48914.0,14.25,3.4762,143.0
12.138381172201,48.664808469539,114.39,95.44,710.36,217.93,49411.0,14.25,3.4898,142.9
12.230899321379,49.437419042582,114.38,90.99,695.94,219.61,50837.0,14.25,3.3891,139.0
12.193892061708,49.244266399321,113.91,90.01,697.46,196.66,50156.0,14.25,3.3877,139.5
12.3974319899,50.13276855832,115.08,91.66,701.87,196.4,51559.0,14.25,3.3527,135.3
11.583272277131,48.123981068409,112.08,88.44,675.22,193.15,50105.0,14.25,3.3766,142.5
11.250206940089,46.771912565584,108.97,85.33,668.26,198.55,49245.0,14.25,3.3928,144.0
11.462998683199,47.747333414051,112.7,87.97,680.04,201.79,50006.0,14.25,3.3261,139.0
11.611027721884,48.809672951985,114.16,91.06,684.11,210.19,51001.0,14.25,3.2429,136.5
11.62953135172,49.418103778256,114.28,91.48,692.1,212.28,51526.0,14.25,3.2092,136.0
11.768308575487,49.408446146093,114.19,96.67,699.21,216.5,52233.0,14.25,3.2292,138.2
11.472250498117,49.418103778256,114.0,97.91,694.49,213.98,51842.0,14.25,3.2898,143.0
11.62953135172,49.62091405368,116.7,94.6,697.77,214.44,51901.0,14.25,3.3236,144.5
11.796064020241,49.62091405368,115.85,95.1,695.36,215.94,52014.0,14.25,3.3382,146.0
12.110625727447,50.509416212679,117.24,97.06,705.63,216.78,53140.0,14.25,3.2962,144.6
