WIKI/F - Open,WIKI/F - High,WIKI/F - Low,WIKI/F - Close,WIKI/F - Volume,WIKI/F - Ex-Dividend,WIKI/F - Split Ratio,WIKI/F - Adj. Open,WIKI/F - Adj. High,WIKI/F - Adj. Low,WIKI/F - Adj. Close,WIKI/F - Adj. Volume,WIKI/MSFT - Open,WIKI/MSFT - High,WIKI/MSFT - Low,WIKI/MSFT - Close,WIKI/MSFT - Volume,WIKI/MSFT - Ex-Dividend,WIKI/MSFT - Split Ratio,WIKI/MSFT - Adj. Open,WIKI/MSFT - Adj. High,WIKI/MSFT - Adj. Low,WIKI/MSFT - Adj. Close,WIKI/MSFT - Adj. Volume,WIKI/FB - Open,WIKI/FB - High,WIKI/FB - Low,WIKI/FB - Close,WIKI/FB - Volume,WIKI/FB - Ex-Dividend,WIKI/FB - Split Ratio,WIKI/FB - Adj. Open,WIKI/FB - Adj. High,WIKI/FB - Adj. Low,WIKI/FB - Adj. Close,WIKI/FB - Adj. Volume,WIKI/NFLX - Open,WIKI/NFLX - High,WIKI/NFLX - Low,WIKI/NFLX - Close,WIKI/NFLX - Volume,WIKI/NFLX - Ex-Dividend,WIKI/NFLX - Split Ratio,WIKI/NFLX - Adj. Open,WIKI/NFLX - Adj. High,WIKI/NFLX - Adj. Low,WIKI/NFLX - Adj. Close,WIKI/NFLX - Adj. Volume,WIKI/GOOG - Open,WIKI/GOOG - High,WIKI/GOOG - Low,WIKI/GOOG - Close,WIKI/GOOG - Volume,WIKI/GOOG - Ex-Dividend,WIKI/GOOG - Split Ratio,WIKI/GOOG - Adj. Open,WIKI/GOOG - Adj. High,WIKI/GOOG - Adj. Low,WIKI/GOOG - Adj. Close,WIKI/GOOG - Adj. Volume,WIKI/TSLA - Open,WIKI/TSLA - High,WIKI/TSLA - Low,WIKI/TSLA - Close,WIKI/TSLA - Volume,WIKI/TSLA - Ex-Dividend,WIKI/TSLA - Split Ratio,WIKI/TSLA - Adj. Open,WIKI/TSLA - Adj. High,WIKI/TSLA - Adj. Low,WIKI/TSLA - Adj. Close,WIKI/TSLA - Adj. Volume,BCB/7 - Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37937.0
12.15,12.16,11.82,11.95,41132363.0,0.0,1.0,10.755794511912,10.764647017684,10.463661821465,10.57874439649,41132363.0,51.48,51.68,50.06,50.56,43564538.0,0.0,1.0,49.020230925033,49.210674712621,47.668080033162,48.144189502131,43564538.0,96.53,97.42,93.92,95.26,30998256.0,0.0,1.0,96.53,97.42,93.92,95.26,30998256.0,106.57,110.14,105.55,107.89,35722752.0,0.0,1.0,106.57,110.14,105.55,107.89,35722752.0,703.3,709.98,693.4101,701.79,2268078.0,0.0,1.0,703.3,709.98,693.4101,701.79,2268078.0,208.71,210.47,200.78,204.72,4038676.0,0.0,1.0,208.71,210.47,200.78,204.72,4038676.0,38057.0
11.79,12.07,11.47,11.9,59874847.0,0.0,1.0,10.437104304152,10.684974465743,10.153824119476,10.534481867634,59874847.0,49.98,51.38,49.1,50.79,63272993.0,0.0,1.0,47.591902518127,48.92500903124,46.753949852742,48.363199857856,63272993.0,92.83,95.0,89.37,94.35,59051429.0,0.0,1.0,92.83,95.0,89.37,94.35,59051429.0,108.91,109.99,97.0501,107.74,53009419.0,0.0,1.0,108.91,109.99,97.0501,107.74,53009419.0,688.61,706.85,673.26,698.45,3444962.0,0.0,1.0,688.61,706.85,673.26,698.45,3444962.0,199.4,201.28,191.25,198.7,5838608.0,0.0,1.0,199.4,201.28,191.25,198.7,5838608.0,37645.0
12.01,12.28,11.86,12.01,48836662.0,0.0,1.0,10.631859431117,10.870877086937,10.49907184455,10.631859431117,48836662.0,51.0,51.58,50.3,50.48,40191157.0,0.0,1.0,48.563165834823,49.115452818827,47.896612578267,48.068011987096,40191157.0,94.91,95.99,92.62,94.16,30518939.0,0.0,1.0,94.91,95.99,92.62,94.16,30518939.0,108.32,108.51,102.1,102.35,31027503.0,0.0,1.0,108.32,108.51,102.1,102.35,31027503.0,702.18,719.19,694.46,706.59,2412211.0,0.0,1.0,702.18,719.19,694.46,706.59,2412211.0,201.55,203.23,195.02,199.97,3166159.0,0.0,1.0,201.55,203.23,195.02,199.97,3166159.0,37717.0
12.26,12.36,12.03,12.14,44536503.0,0.0,1.0,10.853172075395,10.941697133106,10.649564442659,10.746942006141,44536503.0,51.41,52.33,51.26,52.29,37555789.0,0.0,1.0,48.953575599378,49.82961702228,48.810742758687,49.791528264763,37555789.0,96.41,98.07,95.49,97.94,30495387.0,0.0,1.0,96.41,98.07,95.49,97.94,30495387.0,104.7225,104.99,99.22,100.72,26821771.0,0.0,1.0,104.7225,104.99,99.22,100.72,26821771.0,723.6,728.13,720.121,725.25,2011797.0,0.0,1.0,723.6,728.13,720.121,725.25,2011797.0,204.8005,205.5,199.03,202.55,3124055.0,0.0,1.0,204.8005,205.5,199.03,202.55,3124055.0,38031.0
12.3,12.31,11.93,11.98,96715925.0,0.0,1.0,10.888582098479,10.89743460425,10.561039384948,10.605301913803,96715925.0,51.94,52.65,51.65,51.79,34707717.0,0.0,1.0,49.458251636485,50.13432708242,49.182108144483,49.315418795794,34707717.0,98.72,99.48,96.93,97.01,32482015.0,0.0,1.0,98.72,99.48,96.93,97.01,32482015.0,99.78,102.68,99.0,99.12,20321102.0,0.0,1.0,99.78,102.68,99.0,99.12,20321102.0,723.58,729.68,710.01,711.67,1711716.0,0.0,1.0,723.58,729.68,710.01,711.67,1711716.0,200.06,203.57,195.88,196.38,2698739.0,0.0,1.0,200.06,203.57,195.88,196.38,2698739.0,
12.14,12.295,12.04,12.26,45954980.0,0.0,1.0,10.746942006141,10.884155845594,10.65841694843,10.853172075395,45954980.0,51.79,52.44,51.55,52.17,28900820.0,0.0,1.0,49.315418795794,49.934361105454,49.086886250689,49.67726199221,28900820.0,97.76,97.88,95.66,97.34,26877080.0,0.0,1.0,97.76,97.88,95.66,97.34,26877080.0,99.74,100.55,94.85,97.83,22083897.0,0.0,1.0,99.74,100.55,94.85,97.83,22083897.0,713.85,718.28,706.48,713.04,1331691.0,0.0,1.0,713.85,718.28,706.48,713.04,1331691.0,196.7,197.82,188.88,193.56,4964180.0,0.0,1.0,196.7,197.82,188.88,193.56,4964180.0,37497.0
12.05,12.1,11.73,11.85,42047083.0,0.4,1.0,11.02734606025,11.073102682907,10.734503675248,10.844319569624,42047083.0,52.01,52.2,51.0201,51.22,36775194.0,0.0,1.0,49.52490696214,49.705828560349,48.582305435476,48.77265400117,36775194.0,97.79,97.85,94.23,94.45,58699359.0,0.0,1.0,97.79,97.85,94.23,94.45,58699359.0,96.61,97.8495,90.59,91.15,25556187.0,0.0,1.0,96.61,97.8495,90.59,91.15,25556187.0,713.67,718.235,694.39,699.99,2194227.0,0.0,1.0,713.67,718.235,694.39,699.99,2194227.0,192.38,193.26,185.77,188.07,3617221.0,0.0,1.0,192.38,193.26,185.77,188.07,3617221.0,38376.0
12.03,12.06,11.2,11.71,75682985.0,0.0,1.0,11.009043411188,11.036497384782,10.249483475087,10.716201026185,75682985.0,51.86,52.21,51.25,52.055,62513789.0,0.0,1.0,49.38207412145,49.715350749728,48.801220569308,49.567756814348,62513789.0,107.2,110.34,104.81,109.11,107475327.0,0.0,1.0,107.2,110.34,104.81,109.11,107475327.0,93.84,95.25,90.11,94.41,24562311.0,0.0,1.0,93.84,95.25,90.11,94.41,24562311.0,722.22,733.69,712.35,730.96,2676397.0,0.0,1.0,722.22,733.69,712.35,730.96,2676397.0,190.79,191.28,182.41,189.7,4592754.0,0.0,1.0,190.79,191.28,182.41,189.7,4592754.0,38630.0
11.83,11.94,11.65,11.94,52122825.0,0.0,1.0,10.826016920561,10.926681490406,10.661293078997,10.926681490406,52122825.0,54.73,55.09,54.0,55.09,83611686.0,0.0,1.0,52.114942473331,52.457741290988,51.419822648636,52.457741290988,83611686.0,108.99,112.84,108.84,112.21,62739548.0,0.0,1.0,108.99,112.84,108.84,112.21,62739548.0,92.0,94.39,90.63,91.84,20463895.0,0.0,1.0,92.0,94.39,90.63,91.84,20463895.0,731.53,744.9899,726.8,742.95,3474319.0,0.0,1.0,731.53,744.9899,726.8,742.95,3474319.0,189.95,193.74,188.08,191.2,2852289.0,0.0,1.0,189.95,193.74,188.08,191.2,2852289.0,40405.0
11.92,12.14,11.73,12.07,37301185.0,0.0,1.0,10.908378841343,11.109707981032,10.734503675248,11.045648709313,37301185.0,54.88,55.09,54.495,54.71,44208542.0,0.0,1.0,52.257775314022,52.457741290988,51.891171022916,52.095898094572,44208542.0,112.27,115.72,112.01,115.09,46132726.0,0.0,1.0,112.27,115.72,112.01,115.09,46132726.0,91.79,97.18,91.3,94.09,19684477.0,0.0,1.0,91.79,97.18,91.3,94.09,19684477.0,750.46,757.86,743.27,752.0,5139157.0,0.0,1.0,750.46,757.86,743.27,752.0,5139157.0,188.76,199.52,182.75,196.94,5297639.0,0.0,1.0,188.76,199.52,182.75,196.94,5297639.0,40570.0
11.95,12.08,11.45,11.51,55630212.0,0.0,1.0,10.935832814937,11.054800033844,10.478266588371,10.533174535559,55630212.0,54.17,54.26,52.65,53.0,56313753.0,0.0,1.0,51.581699868086,51.6673995725,50.13432708242,50.467603710699,56313753.0,114.8,117.59,113.2,114.61,59778571.0,0.0,1.0,114.8,117.59,113.2,114.61,59778571.0,95.54,96.65,90.73,91.49,21906495.0,0.0,1.0,95.54,96.65,90.73,91.49,21906495.0,784.5,789.8699,764.65,764.65,6348126.0,0.0,1.0,784.5,789.8699,764.65,764.65,6348126.0,192.42,193.12,180.23,182.78,5773637.0,0.0,1.0,192.42,193.12,180.23,182.78,5773637.0,38596.0
11.67,11.68,11.02,11.46,69443935.0,0.0,1.0,10.67959572806,10.688747052591,10.084759633523,10.487417912902,69443935.0,53.25,53.39,51.26,52.16,57559814.0,0.0,1.0,50.705658445183,50.838969096494,48.810742758687,49.667739802831,57559814.0,115.27,115.3407,109.75,112.69,56919324.0,0.0,1.0,115.27,115.3407,109.75,112.69,56919324.0,92.41,92.69,86.14,90.74,27466034.0,0.0,1.0,92.41,92.69,86.14,90.74,27466034.0,770.22,774.5,720.5,726.95,6171019.0,0.0,1.0,770.22,774.5,720.5,726.95,6171019.0,183.59,183.94,170.18,173.48,7931362.0,0.0,1.0,183.59,183.94,170.18,173.48,7931362.0,39588.0
11.37,11.69,11.26,11.53,40219818.0,0.0,1.0,10.40505599212,10.697898377122,10.304391422275,10.551477184621,40219818.0,52.1,52.81,51.37,52.0,46987123.0,0.0,1.0,49.610606666555,50.286682112491,48.91548684186,49.515384772761,46987123.0,111.8,111.94,109.25,110.49,38890199.0,0.0,1.0,111.8,111.94,109.25,110.49,38890199.0,89.5,91.25,86.54,89.71,19108600.0,0.0,1.0,89.5,91.25,86.54,89.71,19108600.0,722.81,727.0,701.86,708.01,5168709.0,0.0,1.0,722.81,727.0,701.86,708.01,5168709.0,170.7,175.98,166.99,175.33,4385366.0,0.0,1.0,170.7,175.98,166.99,175.33,4385366.0,40821.0
11.52,11.7,11.42,11.45,33293528.0,0.0,1.0,10.54232586009,10.707049701654,10.450812614777,10.478266588371,33293528.0,51.94,52.0,49.56,50.16,62008994.0,0.0,1.0,49.458251636485,49.515384772761,47.191970564193,47.763301926956,62008994.0,109.51,109.58,103.18,104.07,76894741.0,0.0,1.0,109.51,109.58,103.18,104.07,76894741.0,88.23,88.95,81.86,82.79,25929257.0,0.0,1.0,88.23,88.95,81.86,82.79,25929257.0,703.87,703.99,680.15,683.57,5105725.0,0.0,1.0,703.87,703.99,680.15,683.57,5105725.0,171.3,173.0,157.7442,162.6,9437591.0,0.0,1.0,171.3,173.0,157.7442,162.6,9437591.0,40592.0
11.39,11.69,11.25,11.59,45273090.0,0.0,1.0,10.423358641183,10.697898377122,10.295240097744,10.606385131809,45273090.0,49.55,49.57,48.19,49.41,59290497.0,0.0,1.0,47.182448374814,47.201492753572,45.887430619218,47.049137723502,59290497.0,100.41,102.68,97.46,99.75,71229746.0,0.0,1.0,100.41,102.68,97.46,99.75,71229746.0,80.57,84.7,79.95,83.32,25035634.0,0.0,1.0,80.57,84.7,79.95,83.32,25035634.0,667.85,684.03,663.06,682.74,4247355.0,0.0,1.0,667.85,684.03,663.06,682.74,4247355.0,157.105,157.15,146.0,147.99,9312988.0,0.0,1.0,157.105,157.15,146.0,147.99,9312988.0,
11.47,11.61,11.22,11.35,48945894.0,0.0,1.0,10.496569237433,10.624687780872,10.26778612415,10.386753343057,48945894.0,49.02,50.24,48.67,49.28,46740474.0,0.0,1.0,46.677772337707,47.839479441991,46.344495709428,46.92534926157,46740474.0,97.14,102.4,96.82,99.54,62709018.0,0.0,1.0,97.14,102.4,96.82,99.54,62709018.0,81.75,88.4,81.55,86.13,25892874.0,0.0,1.0,81.75,88.4,81.55,86.13,25892874.0,672.32,699.9,668.77,678.11,3608914.0,0.0,1.0,672.32,699.9,668.77,678.11,3608914.0,142.32,159.79,141.05,148.25,8651648.0,0.0,1.0,142.32,159.79,141.05,148.25,8651648.0,
