^GSPC,^DJI,F,MSFT,FB,NFLX,GOOG,TSLA,^BVSP,PETR4.SA,VALE3.SA,UGPA3.SA,ITSA3.SA,EZTC3.SA
100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.01879239999403,100.1697135948191,101.52738406641055,102.35334236043099,,111.36489650415513,100.43131775505954,98.68233319003312,100.16873365392726,100.7139547920333,100.67882973190572,102.64194684210923,100.0,100.78338903911177
100.31321941149773,100.14777568061295,104.13297178663056,103.3992799975817,,109.77298114903714,99.03818727773283,96.58119983233264,98.78680502826289,99.55376330367261,97.98686647431947,101.91314318008153,103.74997701556224,96.68668618394086
100.05872863965584,99.69783969442257,105.21116325018522,105.00558715155226,,119.44906085255529,97.68714174625917,95.83333305031033,98.87792120138361,99.64298273383245,97.14418388088082,101.09320982430074,100.0,97.16869697082616
100.28502125280883,99.96217383697743,106.01975503926846,103.62341567809901,,135.90808464488197,93.54533306399951,97.04415980783055,99.69290474985236,100.98169282281467,97.02715506774835,102.94562008775652,100.0,98.43407735515552
101.1761308608678,100.52502903327371,106.01975503926846,103.99699824317193,,132.65503861641815,93.6475301541261,98.36182661779742,100.91284906774656,102.18650897756187,96.91010746989467,100.88063162233291,100.69448502752762,100.42207860590283
101.20745471375714,100.42001062314941,108.44565230906586,103.54871822055827,,127.56091132824659,94.07132583507452,100.53418667712901,101.1760735678731,102.23113364394838,97.63576751177457,102.33827359646195,100.3472061027733,102.83131599028566
101.4439368988296,100.59399364328259,109.07460850387297,104.59465585770897,,127.56091132824659,94.6243686107254,100.6054133787601,101.10689276976292,102.98970313483049,96.6526065115608,104.31214969316926,100.69448502752762,104.2165996199154
100.94200011546907,100.19907180172977,108.17611358586828,105.52853864696954,,130.64784059296366,93.92555227399573,81.16097214190972,99.80089428836581,102.85584907074639,94.68632834214942,104.6158489263718,101.7361306440904,103.61468558772971
101.3006424592006,100.68313168175894,107.99642923057307,105.56589603731894,,131.11849551588236,94.46507004735868,94.72934634523676,102.3302117607357,,,,102.63895935932676,102.89125465182403
102.42588281265832,101.46458618043741,110.87153738860852,105.45382386627075,,136.40642569509183,95.1157985100585,95.47720633470695,104.14747321353244,108.74607578039839,100.88951290341284,109.29239611929572,104.16671900746553,102.89125465182403
102.93172910344384,101.82781029604212,113.29738589738683,105.0429272187436,,143.21705591119147,96.11668550714523,95.29914637318132,104.4916898675441,108.03210105328964,100.60862496717371,108.10808258879709,99.3055513834629,105.90407157125938
103.00063775632127,102.60620057618337,113.11771373234637,110.98242314429349,,138.75969106865494,88.06450312050988,94.72934634523676,105.1413144351641,108.07672571967615,100.46817160669352,106.0431027858919,98.05558028468661,106.98798342921856
103.0491863827555,102.51214718457788,113.74665773689871,111.0571119402552,,130.06645040191088,87.9938674380368,95.33475972399688,105.26617733907028,112.13743081532066,99.74249904166615,105.52684267575839,98.61110276692578,105.90407157125938
102.94347674311459,102.24539475130085,115.18424229155335,109.60026033241928,,128.28073215575498,87.30407390746247,97.64957318659066,105.43491099299756,113.34223700253017,100.67882973190572,104.58546081176287,98.61110276692578,104.81931076047704
103.23947138106743,102.72033287023461,114.91466699759145,110.19795259327243,,160.58970342206447,85.37593705985049,103.06268024461612,106.22289715683793,111.20033275627934,100.1638653846804,104.40326206188556,100.69448502752762,106.80730553066842
